rid,node,behavior,code,lat_us,reply
3248,3,0,0,11084,"rid:3248:immediate"
3253,3,0,0,11066,"rid:3253:immediate"
2763,2,0,0,14197,"rid:2763:immediate"
3254,3,0,0,11064,"rid:3254:immediate"
2765,2,0,0,14188,"rid:2765:immediate"
3257,3,0,0,11054,"rid:3257:immediate"
2769,2,0,0,14172,"rid:2769:immediate"
3259,3,0,0,11049,"rid:3259:immediate"
2770,2,0,0,14153,"rid:2770:immediate"
3263,3,0,0,11036,"rid:3263:immediate"
2771,2,0,0,14148,"rid:2771:immediate"
3264,3,0,0,11033,"rid:3264:immediate"
2772,2,0,0,14145,"rid:2772:immediate"
3265,3,0,0,11031,"rid:3265:immediate"
2774,2,0,0,14136,"rid:2774:immediate"
2775,2,0,0,14133,"rid:2775:immediate"
3269,3,0,0,11018,"rid:3269:immediate"
2778,2,0,0,14120,"rid:2778:immediate"
2780,2,0,0,14112,"rid:2780:immediate"
3278,3,0,0,10979,"rid:3278:immediate"
2782,2,0,0,14105,"rid:2782:immediate"
2783,2,0,0,14101,"rid:2783:immediate"
2784,2,0,0,14098,"rid:2784:immediate"
2785,2,0,0,14093,"rid:2785:immediate"
2790,2,0,0,14071,"rid:2790:immediate"
3281,3,0,0,10969,"rid:3281:immediate"
2791,2,0,0,14068,"rid:2791:immediate"
2792,2,0,0,14065,"rid:2792:immediate"
2793,2,0,0,14060,"rid:2793:immediate"
2797,2,0,0,14040,"rid:2797:immediate"
2798,2,0,0,14037,"rid:2798:immediate"
2799,2,0,0,14032,"rid:2799:immediate"
3292,3,0,0,10915,"rid:3292:immediate"
2802,2,0,0,14020,"rid:2802:immediate"
3293,3,0,0,10912,"rid:3293:immediate"
2809,2,0,0,13987,"rid:2809:immediate"
2810,2,0,0,13982,"rid:2810:immediate"
3295,3,0,0,10902,"rid:3295:immediate"
2811,2,0,0,13976,"rid:2811:immediate"
3296,3,0,0,10898,"rid:3296:immediate"
2814,2,0,0,13965,"rid:2814:immediate"
3300,3,0,0,10880,"rid:3300:immediate"
2815,2,0,0,13960,"rid:2815:immediate"
3304,3,0,0,10802,"rid:3304:immediate"
2816,2,0,0,13958,"rid:2816:immediate"
2818,2,0,0,13933,"rid:2818:immediate"
2819,2,0,0,13928,"rid:2819:immediate"
2823,2,0,0,13910,"rid:2823:immediate"
2824,2,0,0,13906,"rid:2824:immediate"
2825,2,0,0,13860,"rid:2825:immediate"
2826,2,0,0,13854,"rid:2826:immediate"
2827,2,0,0,13849,"rid:2827:immediate"
2830,2,0,0,13834,"rid:2830:immediate"
2831,2,0,0,13830,"rid:2831:immediate"
2833,2,0,0,13821,"rid:2833:immediate"
2835,2,0,0,13810,"rid:2835:immediate"
2836,2,0,0,13806,"rid:2836:immediate"
2838,2,0,0,13796,"rid:2838:immediate"
2839,2,0,0,13792,"rid:2839:immediate"
2840,2,0,0,13789,"rid:2840:immediate"
2841,2,0,0,13785,"rid:2841:immediate"
2844,2,0,0,13773,"rid:2844:immediate"
2845,2,0,0,13769,"rid:2845:immediate"
2847,2,0,0,13762,"rid:2847:immediate"
2848,2,0,0,13759,"rid:2848:immediate"
2850,2,0,0,14319,"rid:2850:immediate"
2852,2,0,0,14312,"rid:2852:immediate"
2854,2,0,0,14305,"rid:2854:immediate"
2855,2,0,0,14302,"rid:2855:immediate"
2857,2,0,0,14294,"rid:2857:immediate"
2859,2,0,0,14270,"rid:2859:immediate"
2860,2,0,0,14266,"rid:2860:immediate"
2861,2,0,0,14261,"rid:2861:immediate"
2862,2,0,0,14257,"rid:2862:immediate"
2863,2,0,0,14254,"rid:2863:immediate"
2865,2,0,0,14243,"rid:2865:immediate"
2866,2,0,0,14240,"rid:2866:immediate"
2867,2,0,0,14237,"rid:2867:immediate"
2868,2,0,0,14234,"rid:2868:immediate"
2870,2,0,0,14227,"rid:2870:immediate"
2871,2,0,0,14223,"rid:2871:immediate"
2876,2,0,0,14165,"rid:2876:immediate"
2877,2,0,0,14150,"rid:2877:immediate"
2879,2,0,0,14143,"rid:2879:immediate"
2880,2,0,0,14140,"rid:2880:immediate"
2884,2,0,0,14113,"rid:2884:immediate"
2889,2,0,0,14091,"rid:2889:immediate"
2894,2,0,0,14073,"rid:2894:immediate"
2896,2,0,0,14066,"rid:2896:immediate"
2898,2,0,0,14058,"rid:2898:immediate"
2901,2,0,0,14046,"rid:2901:immediate"
2903,2,0,0,14040,"rid:2903:immediate"
2905,2,0,0,14033,"rid:2905:immediate"
2907,2,0,0,14027,"rid:2907:immediate"
2909,2,0,0,14020,"rid:2909:immediate"
2911,2,0,0,14014,"rid:2911:immediate"
2914,2,0,0,14008,"rid:2914:immediate"
2916,2,0,0,14001,"rid:2916:immediate"
2920,2,0,0,13988,"rid:2920:immediate"
2921,2,0,0,13984,"rid:2921:immediate"
2922,2,0,0,13971,"rid:2922:immediate"
2923,2,0,0,13963,"rid:2923:immediate"
2926,2,0,0,13950,"rid:2926:immediate"
